nbh_num,cat_1,cat_2,price_tier,likes,rating,CAD / ft²·month,Neighbourhood,Population 2016,Population density per square kilometre,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),After-tax income: Average amount ($)
62,Fish & Chips Shop,None,1,18,7.7,2.8531727008080265,East End-Danforth,21381,8038,3735,2210,9990,2805,2650,310,43567
62,Middle Eastern Restaurant,Falafel Restaurant,2,3,6.6,2.8531727008080265,East End-Danforth,21381,8038,3735,2210,9990,2805,2650,310,43567
62,Sandwich Place,Fast Food Restaurant,1,3,6.5,2.8531727008080265,East End-Danforth,21381,8038,3735,2210,9990,2805,2650,310,43567
63,BBQ Joint,None,3,77,8.2,3.1563551756284856,The Beaches,21567,6058,3825,2075,9590,3140,2955,265,67490
63,Mediterranean Restaurant,None,2,7,7.8,3.1563551756284856,The Beaches,21567,6058,3825,2075,9590,3140,2955,265,67490
63,Breakfast Spot,None,1,9,7.4,3.1563551756284856,The Beaches,21567,6058,3825,2075,9590,3140,2955,265,67490
63,Diner,Breakfast Spot,1,14,7.4,3.1563551756284856,The Beaches,21567,6058,3825,2075,9590,3140,2955,265,67490
63,Middle Eastern Restaurant,None,2,10,8.4,3.1563551756284856,The Beaches,21567,6058,3825,2075,9590,3140,2955,265,67490
64,Café,None,1,20,8.9,2.915652173913044,Woodbine Corridor,12541,7838,2325,1035,6165,1625,1380,170,44594
65,Indian Restaurant,Vegetarian / Vegan Restaurant,1,79,8.6,2.5661163812574435,Greenwood-Coxwell,14417,8582,2460,1305,7240,1765,1640,200,38307
65,Asian Restaurant,Gastropub,2,34,8.9,2.5661163812574435,Greenwood-Coxwell,14417,8582,2460,1305,7240,1765,1640,200,38307
65,Pakistani Restaurant,None,2,176,7.9,2.5661163812574435,Greenwood-Coxwell,14417,8582,2460,1305,7240,1765,1640,200,38307
65,Indian Restaurant,None,2,24,7.9,2.5661163812574435,Greenwood-Coxwell,14417,8582,2460,1305,7240,1765,1640,200,38307
65,Egyptian Restaurant,African Restaurant,0,131,8.7,2.5661163812574435,Greenwood-Coxwell,14417,8582,2460,1305,7240,1765,1640,200,38307
66,Café,None,2,64,8.9,2.611293321356201,Danforth,9666,8554,1675,920,4370,1195,1515,195,43924
66,American Restaurant,Bar,2,133,8.7,2.611293321356201,Danforth,9666,8554,1675,920,4370,1195,1515,195,43924
66,Middle Eastern Restaurant,None,2,24,7.9,2.611293321356201,Danforth,9666,8554,1675,920,4370,1195,1515,195,43924
66,Gastropub,None,2,50,7.9,2.611293321356201,Danforth,9666,8554,1675,920,4370,1195,1515,195,43924
66,American Restaurant,None,2,10,7.6,2.611293321356201,Danforth,9666,8554,1675,920,4370,1195,1515,195,43924
67,Italian Restaurant,None,2,31,8.5,4.0,Playter Estates-Danforth,7804,8671,1150,735,3725,970,1220,195,54115
67,Restaurant,None,2,4,7.9,4.0,Playter Estates-Danforth,7804,8671,1150,735,3725,970,1220,195,54115
67,Café,None,2,55,7.9,4.0,Playter Estates-Danforth,7804,8671,1150,735,3725,970,1220,195,54115
67,Restaurant,None,2,11,6.9,4.0,Playter Estates-Danforth,7804,8671,1150,735,3725,970,1220,195,54115
67,Indian Restaurant,None,2,10,6.9,4.0,Playter Estates-Danforth,7804,8671,1150,735,3725,970,1220,195,54115
68,Café,Coffee Shop,1,167,9.0,3.363636363636364,North Riverdale,11916,6770,1960,1170,5490,1645,1660,140,56122
68,Café,Coffee Shop,1,44,8.7,3.363636363636364,North Riverdale,11916,6770,1960,1170,5490,1645,1660,140,56122
68,Greek Restaurant,None,2,78,8.7,3.363636363636364,North Riverdale,11916,6770,1960,1170,5490,1645,1660,140,56122
